Designator,Footprint,Quantity,Value,LCSC Part #
A1,GY-PCM5102,1,GY-PCM5102,
"C1, C2, C3",0603,3,22u,
"C4, C5, C6",0603,3,0.1u,
D1,0603,1,LED_POVER,
D3,D_SOD-123,1,D_Schottky,
F1,1206,1,Polyfuse,
J1,PinHeader_2x10_P2.54mm_Vertical,1,Ext_con,
J2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Audio_Con,
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Power_Con,
J4,PinSocket_1x06_P2.54mm_Vertical,1,Downloader,
R1,0603,1,2k,
"R2, R3",0603,2,10k,
R4,0603,1,5.1k,
U1,ESP32-WROVER,1,ESP32-WROVER,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
